iter	Passed	Remaining
399	35339	8834
400	35425	8745
401	35515	8657
402	35652	8581
403	35737	8492
404	35863	8412
405	35949	8323
406	36033	8233
407	36109	8142
408	36207	8056
409	36286	7965
410	36383	7878
411	36462	7788
412	36552	7700
413	36631	7609
414	36723	7521
415	36810	7432
416	36901	7344
417	36985	7255
418	37071	7166
419	37173	7080
420	37264	6992
421	37371	6907
422	37459	6818
423	37555	6731
424	37641	6642
425	37723	6552
426	37826	6466
427	37910	6377
428	38001	6289
429	38085	6199
430	38177	6111
431	38268	6023
432	38353	5934
433	38453	5847
434	38546	5759
435	38642	5672
436	38735	5584
437	38825	5495
438	38922	5408
439	39015	5320
440	39092	5230
441	39177	5140
442	39262	5051
443	39340	4961
444	39425	4872
445	39511	4783
446	39589	4694
447	39679	4605
448	39751	4515
449	39833	4425
450	39916	4336
451	40002	4248
452	40083	4158
453	40158	4068
454	40299	3985
455	40383	3896
456	40477	3808
457	40561	3719
458	40642	3630
459	40732	3541
460	40808	3452
461	40900	3364
462	40984	3275
463	41074	3186
464	41154	3097
465	41239	3008
466	41324	2920
467	41409	2831
468	41493	2742
469	41624	2656
470	41706	2567
471	41786	2478
472	41872	2390
473	41956	2301
474	42044	2212
475	42133	2124
476	42220	2035
477	42310	1947
478	42396	1858
479	42485	1770
480	42569	1681
481	42672	1593
482	42765	1505
483	42853	1416
484	42951	1328
485	43038	1239
486	43145	1151
487	43235	1063
488	43328	974
489	43421	886
490	43504	797
491	43601	708
492	43689	620
493	43783	531
494	43892	443
495	43984	354
496	44081	266
497	44177	177
498	44269	88
499	44367	0
