iter	Logloss
139	0.1661120755
140	0.1660041458
141	0.1659387122
142	0.1657810091
143	0.1656926875
144	0.1655644779
145	0.1654895612
146	0.1654333932
147	0.1652948659
148	0.1652471615
149	0.1651245247
150	0.1650084271
151	0.1649540391
152	0.1648944544
153	0.1648085469
154	0.1647175586
155	0.1646383294
156	0.1645589948
157	0.164495401
158	0.1644274062
159	0.164353276
160	0.1642905391
161	0.1641714505
162	0.1641086953
163	0.1639920378
164	0.1639303099
165	0.1638885052
166	0.1638361172
167	0.1637349036
168	0.163602431
169	0.1635217734
170	0.1634651276
171	0.1633905964
172	0.1633301745
173	0.1632791927
174	0.1631929948
175	0.1631198177
176	0.1630044102
177	0.1629263164
178	0.1628930807
179	0.1628538555
180	0.1628146745
181	0.1627714896
182	0.1626860417
183	0.1626503216
184	0.1625842031
185	0.1625351341
186	0.1624927565
187	0.1624372865
188	0.1623563698
189	0.1622953997
190	0.1622535352
191	0.1621377839
192	0.1620837891
193	0.1620243568
194	0.1619679583
195	0.1619359479
196	0.1618673464
197	0.1618182786
198	0.1617575156
199	0.1616591367
200	0.1616135443
201	0.1615617201
202	0.1614724857
203	0.1614206693
204	0.1613826667
205	0.1613325716
206	0.1613014505
207	0.1612545586
208	0.1611968919
209	0.1611602279
210	0.1610756185
211	0.1610518685
212	0.1609819049
213	0.1609543112
214	0.1608848594
215	0.1608399336
216	0.1607745846
217	0.160744319
218	0.1606788281
219	0.160626224
220	0.1605729792
221	0.1605397083
222	0.1604831549
223	0.1604397214
224	0.1603650846
225	0.1603286784
226	0.1602939844
227	0.1602701667
228	0.1602240091
229	0.1601928346
230	0.1601491419
231	0.1601191432
232	0.1600537031
233	0.1600164766
234	0.159966056
235	0.1598961302
236	0.1598306484
237	0.1597916523
238	0.1597583138
239	0.1597277031
240	0.1596829557
241	0.1596248516
242	0.159598056
243	0.1595358542
244	0.159500168
245	0.1594381432
246	0.1594015169
247	0.1593359141
248	0.1592780898
249	0.1592530599
250	0.1592196393
251	0.1591855495
252	0.1591698919
253	0.1591375677
254	0.159086901
255	0.1590517461
256	0.159019888
257	0.1589870352
258	0.1589685573
259	0.1589336055
260	0.1588735378
261	0.1588379492
262	0.1587979557
263	0.1587626341
264	0.1587260599
265	0.1586852669
266	0.1586463151
267	0.1586179531
268	0.1585606263
269	0.1585212513
270	0.1584983203
271	0.1584777305
272	0.1584374727
273	0.1584141953
274	0.1583873542
275	0.1583547956
276	0.1583039648
277	0.158238694
278	0.1582163607
279	0.1581692305
280	0.158135237
281	0.1581023711
282	0.1580608581
283	0.1580080143
284	0.1579685534
285	0.1579516901
286	0.1579205872
287	0.1578725104
288	0.1578508008
289	0.1578219766
290	0.157781263
291	0.157754931
292	0.1577332865
293	0.1576924583
294	0.1576741302
295	0.1576339831
296	0.1576056289
297	0.1575585547
298	0.1575284362
299	0.1574958984
300	0.1574706992
301	0.1574463099
302	0.1574300807
303	0.1573939805
304	0.1573410104
305	0.1573222695
306	0.1572927305
307	0.1572691471
308	0.1572375612
309	0.1572110078
310	0.1571901914
311	0.1571698242
312	0.1571439388
313	0.1571107878
314	0.1570707539
315	0.1570327878
316	0.1569901706
317	0.156943681
318	0.1569206849
319	0.1568841341
320	0.1568552695
321	0.1568402799
322	0.1568083659
323	0.1567948698
324	0.156763651
325	0.1567389076
326	0.1567074857
327	0.1566817552
328	0.156667457
329	0.1566140039
330	0.1565934648
331	0.1565541706
332	0.1565335716
333	0.1564972227
334	0.1564669818
335	0.1564349922
336	0.1564224505
337	0.1563813516
338	0.1563412539
339	0.1563140951
340	0.156281168
341	0.1562549414
342	0.156236306
343	0.1562176849
344	0.1561905299
345	0.1561711589
346	0.1561551628
347	0.1561148776
348	0.1560930326
349	0.1560678516
350	0.1560501927
351	0.1560203333
352	0.1559976536
353	0.1559637214
354	0.1559399948
355	0.1559224401
356	0.1558933138
357	0.1558803359
358	0.1558585625
359	0.1558424609
360	0.1558129323
361	0.1557948359
362	0.1557798646
363	0.1557529154
364	0.1557285182
365	0.1557013659
366	0.1556818594
367	0.1556669479
368	0.1556470208
369	0.1556320247
370	0.15562075
371	0.1555771667
372	0.1555541055
373	0.1555419128
374	0.1555221302
375	0.155492082
376	0.1554686732
377	0.1554440065
378	0.1554310742
379	0.1554064727
380	0.1553792174
381	0.1553646237
382	0.1553315768
383	0.1553087383
384	0.1552772526
385	0.1552577174
386	0.1552172656
387	0.1551898151
388	0.1551627604
389	0.1551545156
390	0.1551395391
391	0.1551260234
392	0.1550853333
393	0.1550600117
394	0.1550383685
395	0.1550045104
396	0.1549915469
397	0.154975625
398	0.1549592487
399	0.1549366016
400	0.1549170378
401	0.1549021146
402	0.154876668
403	0.1548478529
404	0.1548256758
405	0.1548153099
406	0.1547926211
407	0.1547827656
408	0.1547563867
409	0.1547391393
410	0.1547026615
411	0.1546906563
412	0.154672
413	0.1546597083
414	0.1546448164
415	0.1546258333
416	0.1546037643
417	0.1545831862
418	0.1545678164
419	0.1545322682
420	0.1545002943
421	0.154483181
422	0.1544496732
423	0.1544379102
424	0.1544161589
425	0.1544004896
426	0.1543779271
427	0.154367362
428	0.1543538867
429	0.1543298008
430	0.154310599
431	0.1542990599
432	0.1542849883
433	0.1542747617
434	0.1542513385
435	0.1542384701
436	0.1542160573
437	0.1542002604
438	0.1541857461
439	0.1541397891
440	0.1541196628
441	0.1540981536
442	0.1540844792
443	0.1540636927
444	0.1540448633
445	0.1540253893
446	0.1540071107
447	0.1539888047
448	0.1539672526
449	0.1539465365
450	0.1539286003
451	0.1539169609
452	0.1539048281
453	0.1538938385
454	0.1538734102
455	0.1538584167
456	0.153833625
457	0.1538140117
458	0.1538035833
459	0.153783043
460	0.1537748529
461	0.1537498984
462	0.1537328607
463	0.1537207253
464	0.1537035286
465	0.1536776042
466	0.1536612474
467	0.1536306628
468	0.1536160482
469	0.1535973008
470	0.153579513
471	0.1535702044
472	0.1535568906
473	0.1535498828
474	0.1535340247
475	0.1535054076
476	0.1534875117
477	0.153458362
478	0.1534416497
479	0.1534081471
480	0.1533975794
481	0.1533809805
482	0.153358862
483	0.1533459557
484	0.1533295299
485	0.153309138
486	0.153295944
487	0.1532756406
488	0.1532526172
489	0.1532426992
490	0.1532353125
491	0.1532242695
492	0.1532158294
493	0.153207375
494	0.1531900065
495	0.1531665208
496	0.1531510443
497	0.1531290365
498	0.1531143867
499	0.1530941549
