iter	Logloss
0	0.6082999323
1	0.5371448542
2	0.4768840938
3	0.4305552526
4	0.3925746458
5	0.3610757786
6	0.3350043125
7	0.3138868151
8	0.2958014323
9	0.2814498776
10	0.2700084531
11	0.2594754596
12	0.2517408737
13	0.2446233568
14	0.2387014232
15	0.2333501198
16	0.228442888
17	0.2246476471
18	0.2210400482
19	0.2181409505
20	0.2146530299
21	0.2122726263
22	0.2098337474
23	0.2078664427
24	0.2055033346
25	0.2038856823
26	0.2024428034
27	0.2010946159
28	0.1995130182
29	0.1985282734
30	0.1974018125
31	0.1962520312
32	0.1953655469
33	0.1945865742
34	0.1932434115
35	0.1922288359
36	0.1913417018
37	0.1907191549
38	0.1901892708
39	0.1893957826
40	0.1888424336
41	0.1882259987
42	0.1876382396
43	0.187276763
44	0.1864761914
45	0.1860956901
46	0.1856927708
47	0.1852873242
48	0.1848889687
49	0.1842147474
50	0.1838759128
51	0.1833005378
52	0.1828245951
53	0.182461832
54	0.1821563281
55	0.1816739818
56	0.1813007917
57	0.1810104232
58	0.1806243411
59	0.1802645859
60	0.1800897591
61	0.179777194
62	0.1793816068
63	0.1791211497
64	0.1789025247
65	0.1785128828
66	0.1783531953
67	0.1779760469
68	0.1777332721
69	0.1774112747
70	0.177271112
71	0.1769690456
72	0.1766628542
73	0.1762927214
74	0.176127362
75	0.1759995937
76	0.1757820521
77	0.1756337018
78	0.1753270951
79	0.1751851745
80	0.174905875
81	0.1746465365
82	0.1744184245
83	0.1741485378
84	0.173876513
85	0.1737112292
86	0.173526806
87	0.1733097161
88	0.1731452357
89	0.1729222747
90	0.1727271641
91	0.1724799049
92	0.1722504362
93	0.1721164779
94	0.1719668346
95	0.1717984557
96	0.171612401
97	0.1715010312
98	0.1714251016
99	0.1712488737
100	0.1710964974
101	0.170943569
102	0.1707828789
103	0.1705836315
104	0.1704241784
105	0.1703213151
106	0.1701550742
107	0.1700356745
108	0.1699096159
109	0.169810125
110	0.1696846523
111	0.1695618099
112	0.1693465846
113	0.1691891979
114	0.1690439961
115	0.1688955612
116	0.1688208516
117	0.1686304427
118	0.1685485299
119	0.168459181
120	0.1683038633
121	0.1681910117
122	0.1680723477
123	0.1679134076
124	0.1678196576
125	0.1677284766
126	0.1675857943
127	0.1674909518
128	0.1674120625
129	0.1672960404
130	0.1672033424
131	0.1670632161
132	0.1669556185
133	0.1668577135
134	0.1667248542
135	0.1666258099
136	0.166475474
137	0.1664029609
138	0.1662054948
